,year,bank,collection,outstanding,disbursement
806,2008,DBB,0,0,0
807,2009,DBB,0,0,0
808,2010,DBB,0,0,0
809,2011,DBB,0,0,0
810,2012,DBB,0,0,0
811,2013,DBB,0.0131,0.0985,0.1044
812,2014,DBB,0.1695,0.2704,0.2715
813,2015,DBB,0.2414,0.3389,0.2427
814,2016,DBB,0.4819,0.5993,0.5466
815,2017,DBB,0.6175,0.7943,0.6546
816,2018,DBB,0.7065,1.5842,1.3457
817,2019,DBB,1.5577,2.4694,2.0865
818,2020,DBB,1.5528,4.5495,2.8641
819,2021,DBB,3.2766,8.4476,5.6922
820,1981,EB,0,0,0
821,1982,EB,0,0,0
822,1983,EB,0,0,0
823,1984,EB,0,0,0
824,1985,EB,0,0,0
825,1986,EB,0,0,0
826,1987,EB,0,0,0
827,1988,EB,0,0,0
828,1989,EB,0,0,0
829,1990,EB,0,0,0
830,1991,EB,0,0,0
831,1992,EB,0,0,0
832,1993,EB,0,0,0
833,1994,EB,0,0,0
834,1995,EB,0,0,0
835,1996,EB,0,0,0
836,1997,EB,0,0,0
837,1998,EB,0,0,0
838,1999,EB,0,0,0
839,2000,EB,0,0,0
840,2001,EB,0,0,0
841,2002,EB,0,0,0
842,2003,EB,0,0,0
843,2004,EB,0,0,0
844,2005,EB,0,0,0
845,2006,EB,0,0,0
846,2007,EB,0,0,0
847,2008,EB,0,0,0
848,2009,EB,0,0,0
849,2010,EB,0,0,0
850,2011,EB,0,0,0
851,2012,EB,0,0,0
852,2013,EB,0,0.006,0.006
853,2014,EB,0.1358,0.5119,0.4794
854,2015,EB,0.469,1.1453,0.7351
855,2016,EB,0.6528,1.6353,0.6301
856,2017,EB,1.19,2.4791,1.1482
857,2018,EB,1.594,3.3496,1.2294
858,2019,EB,1.616,5.1516,1.8314
859,2020,EB,1.8048,6.5459,1.2851
860,2021,EB,2.6037,9.1441,1.6535
